review_text,sentiment
"Kuch khaas nahi, kuch bura bhi nahi, ambience simple thi, portion size normal tha. 3.5/5 type feel.",neutral
"Assalamualaikum, Okay okay type tha! food average tha, edible tha, taste expected jaisa hi tha, parking thori mushkil thi. try kar sakte ho agar nearby ho.",neutral
Bekar experience raha! noise level unbearable tha. sorry but sach hai.,negative
"Bekar experience raha, portion chota tha price ke hisaab se, taste flat tha, masala missing. 1/10 bas.",negative
"Itna pyara, food fresh aur tasty tha, family ke sath perfect tha. full 10/10 vibes.",positive
"So basically Full paisa vasool, food fresh aur tasty tha, hygiene top notch thi. full 10/10 vibes.",positive
"Staff rude tha bilkul. packaging leak hogayi thi, billing mein extra charges add kiye, order late aya aur thanda tha. 1/10 bas. Allah Hafiz.",negative
"Dil khush ho gaya. delivery time bhi reasonable tha, staff bohot cooperative tha, delivery time bhi reasonable tha. next weekend phir plan banega. Thanks for reading yaar.",positive
"Lahore se likh raha hoon — Expectations bilkul crush hogayeen. ambience dull aur congested thi, wait time bohot zyada tha, ambience dull aur congested thi. Lahore mein aur options dekh lo. Thanks for reading yaar.",negative
"Okay okay type tha! food average tha, edible tha, portion size normal tha, menu variety theek thi. try kar sakte ho agar nearby ho.",neutral
"Love ho gaya, food fresh aur tasty tha, portion size bhi theek tha. friends ko recommend karunga. Allah Hafiz.",positive
"Time waste pura. ambience dull aur congested thi, ambience dull aur congested thi, wait time bohot zyada tha. dobara kabhi nahi.",negative
"Assalamualaikum, Mixed feelings hain! taste expected jaisa hi tha, parking thori mushkil thi, price thora high lag raha tha. neither wow nor uff.",neutral
"Mast experience tha. delivery time bhi reasonable tha, staff bohot cooperative tha, packaging neat thi. Lahore mein best lagta hai.",positive
"Full paisa vasool, family ke sath perfect tha, music aur lighting balanced thi. dil se thank you team. Bas itna hi.",positive
Normal restaurant vibes. portion size normal tha. neither wow nor uff.,neutral
"Assalamualaikum, Bhai dil se bolun. service fast thi, portion size bhi theek tha, service fast thi. Lahore mein best lagta hai.",positive
"Yaar honestly, staff bohot cooperative tha, service fast thi. dil se thank you team.",positive
"Quick review: Mixed feelings hain, price thora high lag raha tha, noise level manageable tha. try kar sakte ho agar nearby ho.",neutral
Mast experience tha! hygiene top notch thi. full 10/10 vibes.,positive
Average sa experience tha. price thora high lag raha tha. expectation medium rakho.,neutral
"Lahore se likh raha hoon — Kuch khaas nahi, kuch bura bhi nahi! ambience simple thi, service kabhi fast kabhi slow, price thora high lag raha tha. maybe dobara sochunga.",neutral
